WVHT,DPD,APD,MWD,WTMP,time_sin
1.8,13,7.9,218,29.2,-0.991444861
1.9,13,8.4,253,29.2,-1
1.8,13,8.3,218,29.2,-0.991444861
1.9,13,8.5,219,29.2,-0.965925826
2,13,8.8,216,29.2,-0.923879533
2.1,13,9.5,217,29.2,-0.866025404
2.1,13,9.6,238,29.2,-0.79335334
2.1,13,9.8,231,29.2,-0.707106781
1.9,13,9.6,247,29.2,-0.608761429
2.1,13,10.2,238,29.2,-0.5
1.9,13,9.6,248,29.2,-0.382683432
2.1,13,10,213,29.2,-0.258819045
2.1,13,9.9,233,29.2,-0.130526192
2,13,9.9,219,29.3,1.22E-16
2.5,13,10.9,216,29.2,0.130526192
2.4,13,10.8,216,29.3,0.258819045
2.1,13,10.2,198,29.3,0.382683432
2,14,10.1,214,29.3,0.5
2.2,13,10.5,229,29.3,0.608761429
2,14,10.3,219,29.3,0.707106781
2.2,14,10.7,227,29.4,0.79335334
2.3,14,10.9,233,29.3,0.866025404
2.2,14,10.5,217,29.4,0.923879533
2,14,10.3,219,29.4,0.965925826
2.2,14,10.6,227,29.4,0.991444861
2.1,14,10.5,220,29.5,1
2.2,13,11,223,29.6,0.991444861
2.1,14,10.7,226,29.6,0.965925826
2.1,14,11.3,235,29.6,0.923879533
2.1,14,11.2,217,29.6,0.866025404
1.8,14,10.4,227,29.7,0.79335334
1.9,14,10.6,220,29.6,0.707106781
1.7,14,9.8,225,29.6,0.608761429
1.9,14,10.2,215,29.5,0.5
1.8,14,10,229,29.5,0.382683432
1.5,13,9.4,239,29.5,0.258819045
1.6,14,9.8,224,29.5,0.130526192
1.4,11,8.6,243,29.4,0
1.5,15,9.1,213,29.4,-0.130526192
1.5,11,8.8,236,29.4,-0.258819045
1.5,15,8.8,230,29.3,-0.382683432
1.4,13,8.8,317,29.3,-0.5
1.4,12,8.7,241,29.2,-0.608761429
1.3,13,8.6,324,29.2,-0.707106781
1.4,13,9.2,316,29.2,-0.79335334
1.4,13,9.6,325,29.1,-0.866025404
1.4,12,9.2,271,29.1,-0.923879533
1.3,12,9.4,261,29.1,-0.965925826
1.2,13,9.3,347,29.1,-0.991444861
1.3,14,9,355,29,-1
1.3,13,9.1,341,29,-0.991444861
1.3,13,9,342,29,-0.965925826
1.4,13,9.3,337,29,-0.923879533
1.3,14,9.3,344,29,-0.866025404
1.2,13,8.7,340,29.1,-0.79335334
1.3,13,8.6,339,29.2,-0.707106781
1.3,13,8.9,347,29.2,-0.608761429
1.4,14,9.3,357,29.2,-0.5
1.3,13,8.9,344,29.2,-0.382683432
1.4,14,9.1,348,29.3,-0.258819045
1.3,14,9.1,3,29.3,-0.130526192
1.3,13,9,349,29.4,1.22E-16
1.3,13,8.8,353,29.5,0.258819045
1.3,13,9,340,29.5,0.382683432
1.4,13,9.6,354,29.6,0.5
1.2,13,9.1,344,29.7,0.608761429
1.3,13,9.5,344,29.6,0.707106781
1.2,13,9.5,347,29.7,0.79335334
1.4,14,10.3,347,29.7,0.866025404
1.2,13,9.3,348,29.6,0.923879533
1.2,13,9.8,347,30,0.965925826
1.2,13,9.6,353,29.5,0.991444861
1.4,13,9.9,353,29.7,1
1.3,13,10,345,29.9,0.991444861
1.2,13,9.9,349,30.2,0.965925826
1.2,14,9.8,357,30,0.923879533
1.2,14,9.8,352,30.5,0.866025404
1.3,13,10.1,338,30.7,0.79335334
1.2,14,9.7,351,31.3,0.707106781
1.3,13,10.1,349,31.8,0.608761429
1.4,14,10.3,348,31.5,0.5
1.4,13,10.4,347,31.8,0.382683432
1.3,13,10.1,350,31.4,0.258819045
1.2,12,9.5,347,31.3,0.130526192
1.4,14,10.2,351,30.8,0
1.3,13,9.7,341,30.6,-0.130526192
1.3,14,9.8,345,30.4,-0.258819045
1.3,12,9.5,339,30.2,-0.382683432
1.4,14,9.9,351,29.8,-0.5
1.2,12,9.3,331,29.8,-0.608761429
1.3,13,9.6,338,29.6,-0.707106781
1.3,14,9.7,351,29.5,-0.79335334
1.3,14,9.9,336,29.5,-0.866025404
1.3,13,10,333,29.4,-0.923879533
1.2,13,9.7,334,29.4,-0.965925826
1.3,14,10.2,337,29.4,-0.991444861
1.3,13,10.1,327,29.4,-1
1.3,14,10,345,29.2,-0.991444861
1.3,13,9.9,340,29.2,-0.965925826
1.4,14,9.9,343,29.2,-0.923879533
1.5,14,10,347,29.2,-0.866025404
1.5,14,9.8,337,29.1,-0.79335334
1.5,14,9.8,342,29.1,-0.707106781
1.5,13,9.1,335,29.1,-0.608761429
1.5,13,9.2,340,29.1,-0.5
1.4,14,8.8,332,29.1,-0.382683432
1.5,14,9.7,340,29.1,-0.258819045
1.6,14,10.2,336,29.1,-0.130526192
1.6,14,10.1,343,29.2,1.22E-16
1.4,14,9.2,353,29.2,0.130526192
1.5,13,9.6,342,29.2,0.258819045
1.5,14,9.4,336,29.2,0.382683432
1.5,13,9.4,346,29.2,0.5
1.5,15,9.6,340,29.3,0.608761429
1.4,13,8.9,335,29.3,0.707106781
1.4,14,9.2,341,29.3,0.79335334
1.5,12,9.7,325,29.4,0.866025404
1.7,14,10.5,333,29.4,0.923879533
1.5,13,9.6,336,29.4,0.965925826
1.5,13,9.8,330,29.4,0.991444861
1.4,15,9.4,354,29.5,1
1.5,14,9.7,337,29.5,0.991444861
1.7,13,10.5,320,29.6,0.965925826
1.6,13,10.1,327,29.6,0.923879533
1.7,13,10.1,327,29.7,0.866025404
1.6,13,10,330,29.9,0.79335334
1.7,13,10.3,334,29.8,0.707106781
1.8,13,10.2,340,29.9,0.608761429
1.7,13,10.2,344,29.9,0.5
1.6,15,10.2,344,30,0.382683432
1.7,14,10,341,30,0.258819045
1.7,15,10.2,357,29.6,0.130526192
1.9,15,10.8,349,29.7,0
1.7,15,10.4,346,29.8,-0.130526192
1.7,13,10.1,337,29.5,-0.258819045
1.8,15,10,347,29.5,-0.382683432
1.9,14,10.5,339,29.5,-0.5
1.8,13,10.6,336,29.6,-0.608761429
