#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 03 15 57 999 99.0 99.0  0.75  3.23  3.13 298 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 16 27 999 99.0 99.0  0.70  3.12  3.13 300 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 16 57 999 99.0 99.0  0.73  3.23  3.16 312 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 17 57 999 99.0 99.0  0.72  3.12  3.13 319 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 18 27 999 99.0 99.0  0.77  3.23  3.17 316 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 18 57 999 99.0 99.0  0.75  3.33  3.12 333 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 19 27 999 99.0 99.0  0.68  3.23  3.13 327 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 19 57 999 99.0 99.0  0.60  2.94  3.07 324 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 20 27 999 99.0 99.0  0.62  3.12  3.20 321 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 20 57 999 99.0 99.0  0.59  3.12  3.19 317 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 21 27 999 99.0 99.0  0.60  3.12  3.17 307 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 21 57 999 99.0 99.0  0.63  3.23  3.18 299 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 22 27 999 99.0 99.0  0.71  3.23  3.16 300 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 23 27 999 99.0 99.0  0.60  3.03  3.14 295 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 03 23 57 999 99.0 99.0  0.61  3.03  3.08 299 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 00 27 999 99.0 99.0  0.58  2.86  3.12 292 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 00 57 999 99.0 99.0  0.58  2.86  2.93 292 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 01 27 999 99.0 99.0  0.58  3.03  3.05 286 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 01 57 999 99.0 99.0  0.60  3.03  3.07 291 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 02 27 999 99.0 99.0  0.59  2.86  3.02 292 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 02 57 999 99.0 99.0  0.56  2.94  2.97 292 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 03 27 999 99.0 99.0  0.55  2.78  2.98 288 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 03 57 999 99.0 99.0  0.55  2.78  3.04 291 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 04 27 999 99.0 99.0  0.56  2.78  2.95 289 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 04 57 999 99.0 99.0  0.58  2.70  2.94 296 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 05 27 999 99.0 99.0  0.61  2.63  2.92 300 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 05 57 999 99.0 99.0  0.63  2.78  2.94 303 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 06 27 999 99.0 99.0  0.70  2.94  3.03 314 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 06 57 999 99.0 99.0  0.69  3.23  3.01 317 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 07 27 999 99.0 99.0  0.69  3.33  3.11 316 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 07 57 999 99.0 99.0  0.71  3.23  3.14 317 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 08 27 999 99.0 99.0  0.68  3.03  3.20 323 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 08 57 999 99.0 99.0  0.67  3.12  3.13 337 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 09 27 999 99.0 99.0  0.65  3.23  3.16 338 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 09 57 999 99.0 99.0  0.63  3.23  3.23 337 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 10 27 999 99.0 99.0  0.62  3.03  3.16 336 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 10 57 999 99.0 99.0  0.61  3.12  3.30 344 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 11 27 999 99.0 99.0  0.60  2.94  3.26 340 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 11 57 999 99.0 99.0  0.62  3.03  3.18 343 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 12 27 999 99.0 99.0  0.60  3.03  3.20 340 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 12 57 999 99.0 99.0  0.60  2.94  3.22 337 9999.0 999.0  10.5 999.0 99.0 99.00
2010 01 04 13 27 999 99.0 99.0  0.58  2.94  3.22 334 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 13 57 999 99.0 99.0  0.59  9.88  3.32  95 9999.0 999.0  10.4 999.0 99.0 99.00
