#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 10 36 999 99.0 99.0  0.80  8.33  3.71 136 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 11 06 999 99.0 99.0  0.85  4.17  3.62  64 9999.0 999.0  18.4 999.0 99.0 99.00
2016 01 02 11 36 999 99.0 99.0  0.88  4.35  3.52  64 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 12 06 999 99.0 99.0  0.85  4.00  3.65  61 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 12 36 999 99.0 99.0  0.85  4.35  3.73  64 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 13 06 999 99.0 99.0  0.83  3.70  3.72  54 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 13 36 999 99.0 99.0  0.89  4.55  3.80  66 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 14 06 999 99.0 99.0  0.87  4.00  3.67  59 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 14 36 999 99.0 99.0  0.82  4.00  3.63  57 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 15 06 999 99.0 99.0  0.80  4.17  3.62  61 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 15 36 999 99.0 99.0  0.81  3.85  3.70  54 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 16 06 999 99.0 99.0  0.82  3.85  3.73  59 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 16 36 999 99.0 99.0  0.77  4.00  3.77  54 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 17 06 999 99.0 99.0  0.75  8.33  3.71 141 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 17 36 999 99.0 99.0  0.73  8.33  3.99 127 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 18 06 999 99.0 99.0  0.67  8.33  4.07 130 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 18 36 999 99.0 99.0  0.64  3.70  4.06  56 9999.0 999.0  18.3 999.0 99.0 99.00
