#YY  MM DD hh mm WVHT SwH SwP WWH WWP SwD WWD STEEPNESS APD MWD
2025 12 09 18 30  2.3  1.6 14.3  1.6  8.0 NNW  NE      SWELL  8.7 341
2025 12 09 18 00  2.2  1.6 15.4  1.6  8.7 NNW NNE      SWELL  8.6 344
2025 12 09 17 30  2.2  1.6 12.5  1.6  9.5 NNW   N      SWELL  8.5 338
2025 12 09 17 00  2.2  1.6 11.1  1.5  8.0 NNW  NE      SWELL  8.5 336
2025 12 09 16 30  2.2  1.6 13.3  1.5  8.3 NNW NNE      SWELL  8.4 342
2025 12 09 16 00  2.4  1.7 14.3  1.6  7.1   N NNE      SWELL  8.5 349
2025 12 09 15 30  2.3  1.7 13.3  1.5  8.0 NNW  NE      SWELL  8.5 341
2025 12 09 15 00  2.2  1.6 12.5  1.6  7.4 NNW  NE      SWELL  8.5 340
2025 12 09 14 30  2.3  1.6 14.3  1.6  7.4 NNW NNE      SWELL  8.7 337
2025 12 09 14 00  2.2  1.4 11.8  1.7  7.7 NNW  NE      STEEP  8.1  38
2025 12 09 13 30  2.2  1.5 11.8  1.6  8.0 NNW  NE    AVERAGE  8.3 331
2025 12 09 13 00  2.4  1.6 14.3  1.7  8.3 NNW NNE    AVERAGE  8.6 343
2025 12 09 12 30  2.1  1.5 14.3  1.5  7.7 NNW  NE      SWELL  8.3 339
2025 12 09 12 00  2.1  1.4 11.8  1.6  9.5 NNW  NW    AVERAGE  7.9 333
2025 12 09 11 30  2.0  1.4 14.3  1.5  7.7 NNW  NE    AVERAGE  8.1 337
2025 12 09 11 00  2.1  1.4 14.3  1.5  8.0 NNW  NE    AVERAGE  8.0 336
2025 12 09 10 30  2.1  1.4 14.3  1.6  9.1 NNW NNE    AVERAGE  8.0 342
2025 12 09 10 00  2.2  1.6 13.3  1.5  7.7 NNW  NE      SWELL  8.3 347
2025 12 09 09 30  2.4  1.6 14.3  1.8  7.4 NNW  NE    AVERAGE  8.0 344
2025 12 09 09 00  2.3  1.7 14.3  1.6  8.3 NNW  NE      SWELL  8.3 342
2025 12 09 08 30  2.2  1.6 12.5  1.6  7.1   N  NE      SWELL  8.2   2
2025 12 09 08 00  2.2  1.5 15.4  1.6  6.7 NNW  NE    AVERAGE  7.8 344
2025 12 09 07 30  2.3  1.6 14.3  1.7  7.1 NNW NNE    AVERAGE  7.9 342
2025 12 09 07 00  2.0  1.3 12.5  1.6  7.7 NNW  NE    AVERAGE  7.2 336
2025 12 09 06 30  2.1  1.4 14.3  1.6  7.7 NNW ENE    AVERAGE  7.5 338
2025 12 09 06 00  2.2  1.6 13.3  1.6  9.5 NNW NNW      SWELL  7.7 345
2025 12 09 05 30  2.1  1.5 15.4  1.5  9.5 NNW   N      SWELL  8.0 342
2025 12 09 05 00  1.9  1.3 11.8  1.5  7.1  NW NNE    AVERAGE  7.4 320
2025 12 09 04 30  2.0  1.4 12.5  1.4  7.1  NW  NE      SWELL  8.0 319
2025 12 09 04 00  2.0  1.4 11.1  1.5  8.3   W  NE    AVERAGE  7.8 281
2025 12 09 03 30  2.0  1.4 13.3  1.4  9.5 NNW  NW      SWELL  7.7 343
2025 12 09 03 00  1.9  1.4 11.8  1.4  9.5   W  NW      SWELL  7.7 280
2025 12 09 02 30  2.0  1.5 11.8  1.4  9.5 SSW   W      SWELL  7.8 213
2025 12 09 02 00  1.9  1.4 11.1  1.4  6.9  NW  NE      SWELL  7.5 319
2025 12 09 01 30  1.8  1.2 11.8  1.4  9.5 SSE NNW    AVERAGE  7.0 166
2025 12 09 01 00  2.1  1.6 12.5  1.4  9.1 WSW NNW      SWELL  8.0 240
2025 12 09 00 30  2.0  1.6 11.8  1.3  9.5 WSW   W      SWELL  7.8 246
2025 12 09 00 00  1.9  1.4 13.3  1.4  9.5  NW  NW      SWELL  7.2 306
2025 12 08 23 30  1.9  1.3 11.1  1.3  7.4 WSW  NE      SWELL  7.1 258
2025 12 08 23 00  1.9  1.4 11.1  1.3  7.4 SSW  NE      SWELL  7.5 205
2025 12 08 22 30  1.9  1.3 13.3  1.3  9.5  NW  SW      SWELL  7.1 306
2025 12 08 22 00  1.9  1.4 11.8  1.3  7.1  NW ENE      SWELL  7.2 320
2025 12 08 21 30  1.8  1.2 11.1  1.3  7.4   W  NE    AVERAGE  6.8 271
2025 12 08 21 00  2.1  1.7 13.3  1.4  9.5 NNW SSW      SWELL  7.8 332
2025 12 08 20 30  2.1  1.6 12.5  1.3  9.5 NNW WSW      SWELL  7.5 345
2025 12 08 20 00  1.9  1.4 12.5  1.3  9.5   W SSW      SWELL  7.0 281
2025 12 08 19 30  2.0  1.5 13.3  1.3  9.5 NNW SSW      SWELL  7.3 346
2025 12 08 19 00  2.0  1.5 13.3  1.3  9.5  NW SSW      SWELL  7.2 272
2025 12 08 18 30  2.0  1.5 12.5  1.3  9.5   W  NW      SWELL  7.6 263
2025 12 08 18 00  2.1  1.6 11.8  1.3  9.5 NNW WSW      SWELL  7.3 328
2025 12 08 17 30  2.1  1.6 11.8  1.4  9.5  NW NNW      SWELL  7.4 317
2025 12 08 17 00  2.0  1.5 11.8  1.4  6.1  NW ENE      SWELL  7.3 318
2025 12 08 16 30  2.1  1.7 13.3  1.2  9.5  NW NNW      SWELL  8.0 325
2025 12 08 16 00  2.1  1.7 12.5  1.2  9.5   W NNW      SWELL  8.5 259
2025 12 08 15 30  1.9  1.5 12.5  1.2  9.5   W WNW      SWELL  8.0 268
2025 12 08 15 00  2.0  1.6 13.3  1.2  9.5   W   W      SWELL  7.9 273
2025 12 08 14 30  2.0  1.5 11.8  1.3  9.5  NW   W      SWELL  7.5 313
2025 12 08 14 00  1.9  1.5 12.5  1.2  6.1 WNW  NE      SWELL  7.7 287
2025 12 08 13 30  2.1  1.6 14.3  1.3  6.1 WNW  NE      SWELL  7.7 286
2025 12 08 13 00  2.0  1.5 12.5  1.3  6.5 WSW  NE      SWELL  7.3 253
2025 12 08 12 30  2.1  1.6 11.8  1.3  9.5 WNW   S      SWELL  7.4 296
2025 12 08 12 00  1.9  1.3 12.5  1.3  9.5 NNW  NW      SWELL  6.8 332
2025 12 08 11 30  2.0  1.5 12.5  1.3  6.7 WSW ENE      SWELL  7.2 244
2025 12 08 11 00  2.1  1.7 12.5  1.3  5.9 WNW ENE      SWELL  7.6 289
2025 12 08 10 30  1.9  1.5 12.5  1.2  6.1   W ENE      SWELL  7.2 271
2025 12 08 10 00  1.9  1.5 12.5  1.3  6.2 WSW  NE      SWELL  7.2 248
2025 12 08 09 30  1.9  1.5 12.5  1.2  6.1 WNW  NE      SWELL  7.2 284
2025 12 08 09 00  2.2  1.8 12.5  1.2  6.2 WSW  NE      SWELL  8.1 252
2025 12 08 08 30  2.0  1.6 13.3  1.2  9.5 WSW SSW      SWELL  7.5 237
2025 12 08 08 00  2.0  1.5 12.5  1.4  5.7 WSW  NE      SWELL  6.8 254
2025 12 08 07 30  2.1  1.7 12.5  1.3  9.5   W  SW      SWELL  7.6 262
2025 12 08 07 00  2.0  1.5 12.5  1.3  5.9 WSW  NE      SWELL  7.2 255
2025 12 08 06 30  1.9  1.4 13.3  1.2  9.5  SW   S      SWELL  7.4 219
2025 12 08 06 00  2.1  1.7 12.5  1.2  9.5 SSW WNW      SWELL  8.1 209
2025 12 08 05 30  1.8  1.4 13.3  1.2  9.5  SW   W      SWELL  7.1 221
2025 12 08 05 00  2.0  1.5 13.3  1.2  9.5  SW SSW      SWELL  7.4 226
2025 12 08 04 30  1.9  1.4 13.3  1.2  9.5 SSW   W      SWELL  7.0 202
2025 12 08 04 00  1.9  1.4 13.3  1.3  5.7  SW ENE      SWELL  7.0 201
2025 12 08 03 30  2.0  1.6 13.3  1.2  9.5 SSW SSW      SWELL  7.4 212
2025 12 08 03 00  2.0  1.5 12.5  1.3  5.4  SW  NE      SWELL  7.2 230
2025 12 08 02 30  2.1  1.6 12.5  1.3  5.4  SW ENE      SWELL  7.3 227
2025 12 08 02 00  2.1  1.7 13.3  1.3  5.3  SW  NE      SWELL  7.5 221
2025 12 08 01 30  2.2  1.8 12.5  1.3  5.0 SSW  NE      SWELL  7.5 211
2025 12 08 01 00  2.0  1.6 13.3  1.3  5.0 WSW ENE      SWELL  7.0 238
2025 12 08 00 30  1.9  1.4 13.3  1.2  9.5 SSW SSW      SWELL  6.8 208
2025 12 08 00 00  1.9  1.5 13.3  1.2  9.5  SW   W      SWELL  7.0 219
2025 12 07 23 30  1.9  1.5 13.3  1.2  9.5 SSW  SW      SWELL  6.8 201
2025 12 07 23 00  2.0  1.7 13.3  1.2  9.5 SSW WSW      SWELL  7.3 204
2025 12 07 22 30  1.8  1.4 11.8  1.1  9.5   W  SW      SWELL  6.9 265
2025 12 07 22 00  1.9  1.6 13.3  1.0  9.5 SSW   W      SWELL  7.6 213
2025 12 07 21 30  2.0  1.7 12.5  1.0  9.5 WSW  SW      SWELL  7.9 250
2025 12 07 21 00  1.9  1.6 11.8  1.0  9.5 SSW  SW      SWELL  7.7 206
2025 12 07 20 30  1.9  1.6 12.5  1.0  8.7  SW WSW      SWELL  7.9 224
2025 12 07 20 00  1.9  1.6 13.3  0.9  9.5 SSW  SW      SWELL  7.9 201
2025 12 07 19 30  1.9  1.6 13.3  1.0  8.7 WSW SSW      SWELL  7.9 256
2025 12 07 19 00  1.8  1.6 13.3  1.0  9.5 WSW  SW      SWELL  7.9 237
2025 12 07 18 30  1.8  1.6 13.3  1.0  9.5  SW SSW      SWELL  7.9 218
2025 12 07 18 00  1.9  1.7 12.5  0.9  9.5 WSW  SW      SWELL  8.4 253
2025 12 07 17 30  1.8  1.6 13.3  0.9  9.5  SW  SW      SWELL  8.3 218
2025 12 07 17 00  1.9  1.6 13.3  0.9  8.7  SW SSW      SWELL  8.5 219
2025 12 07 16 30  1.9  1.7 13.3  0.9  9.1  SW  SW      SWELL  8.8 216
2025 12 07 16 00  2.1  1.9 13.3  0.9  9.5  SW WSW      SWELL  9.5 217
2025 12 07 15 30  2.0  1.8 13.3  0.9  9.5 WSW WSW      SWELL  9.6 238
2025 12 07 15 00  2.0  1.9 13.3  0.8  9.5  SW WSW      SWELL  9.8 231
2025 12 07 14 30  1.9  1.7 12.5  0.8  9.5 WSW  SW      SWELL  9.6 247
2025 12 07 14 00  2.1  1.9 13.3  0.8  9.5 WSW WSW      SWELL 10.2 238
