YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,5,0,59,0.8,3.12,3.57,307,9.1
2018,1,5,1,29,0.78,3.03,3.55,309,9
2018,1,5,1,59,0.77,2.86,3.58,299,9
2018,1,5,2,29,0.74,3.12,3.44,295,9
2018,1,5,3,29,0.81,3.12,3.32,296,9
2018,1,5,3,59,0.8,3.12,3.44,298,9
2018,1,5,4,29,0.75,13.33,3.62,95,9
2018,1,5,4,59,0.83,2.94,3.47,309,8.9
2018,1,5,5,29,0.88,3.23,3.47,313,8.9
2018,1,5,5,59,0.92,3.33,3.48,310,8.8
2018,1,5,6,29,0.85,3.23,3.55,309,8.8
2018,1,5,6,59,0.78,14.29,3.56,95,8.7
2018,1,5,7,29,0.81,14.29,3.56,102,8.7
2018,1,5,7,59,0.83,3.12,3.49,309,8.7
2018,1,5,8,29,0.87,14.29,3.54,108,8.7
2018,1,5,8,59,0.84,3.33,3.5,313,8.7
2018,1,5,9,29,0.84,13.33,3.72,80,8.7
2018,1,5,9,59,0.82,14.29,3.81,98,8.7
2018,1,5,10,29,0.81,14.29,3.76,89,8.7
2018,1,5,10,59,0.82,13.33,3.95,95,8.7
2018,1,5,11,29,0.79,13.33,3.91,98,8.7
2018,1,5,11,59,0.75,13.33,3.91,98,8.7
2018,1,5,12,29,0.71,14.29,4.02,105,8.7
2018,1,5,12,59,0.73,13.33,3.81,96,8.7
2018,1,5,13,29,0.72,13.33,3.63,84,8.7
2018,1,5,13,59,0.7,13.33,3.9,95,8.7
2018,1,5,14,29,0.63,14.29,3.52,98,8.7
2018,1,5,14,59,0.66,13.33,3.97,99,8.7
2018,1,5,15,29,0.62,14.29,4,92,8.8
2018,1,5,15,59,0.57,13.33,4,95,8.8
2018,1,5,16,29,0.55,13.33,4.26,98,8.8
2018,1,5,16,59,0.54,13.33,4.01,105,8.8
2018,1,5,17,29,0.55,14.29,3.99,113,8.7
2018,1,5,17,59,0.57,12.5,3.83,102,8.7
2018,1,5,18,29,0.58,13.33,4.83,99,8.7
2018,1,5,19,29,0.55,13.33,4.29,96,8.6
2018,1,5,19,59,0.56,13.33,4.54,99,8.6
2018,1,5,20,29,0.53,12.5,4.67,89,8.6
2018,1,5,21,29,0.48,13.33,4.05,89,8.6
2018,1,5,21,59,0.53,11.76,3.95,92,8.6
2018,1,5,22,29,0.51,11.76,4.24,96,8.6
2018,1,5,22,59,0.52,11.76,3.84,96,8.6
2018,1,5,23,29,0.5,11.76,3.85,88,8.6
2018,1,5,23,59,0.48,11.76,4.2,98,8.6
2018,1,6,0,29,0.52,11.76,4.19,91,8.7
2018,1,6,0,59,0.53,12.5,4.06,101,8.6
2018,1,6,1,29,0.49,11.76,3.91,95,8.6
2018,1,6,1,59,0.46,10.53,3.92,99,8.6
2018,1,6,2,29,0.47,11.76,4.04,105,8.5
2018,1,6,3,29,0.48,11.11,3.91,91,8.3
2018,1,6,3,59,0.45,11.76,3.96,91,8.2
2018,1,6,4,29,0.45,11.11,4.06,96,8.1
2018,1,6,4,59,0.47,11.76,4.09,96,8
2018,1,6,5,29,0.45,11.11,3.65,98,8
2018,1,6,5,59,0.5,11.76,3.24,95,7.9
2018,1,6,6,29,0.55,10.53,3.34,104,8
2018,1,6,7,29,0.8,3.33,3.33,30,8
2018,1,6,7,59,0.91,4,3.44,32,8
2018,1,6,8,29,0.92,4,3.54,37,8
2018,1,6,8,59,1,4.35,3.63,42,8.1
2018,1,6,9,29,0.93,4.17,3.54,44,8.1
2018,1,6,9,59,1,4.55,3.62,51,8.2
2018,1,6,10,29,0.91,4.55,3.53,53,8.2
2018,1,6,10,59,0.98,4.55,3.59,53,8.2
2018,1,6,11,29,0.92,4.55,3.54,54,8.4
2018,1,6,11,59,0.96,4.55,3.53,53,8.5
2018,1,6,12,29,0.93,4.55,3.51,57,8.5
2018,1,6,12,59,0.9,4.55,3.48,59,8.6
2018,1,6,13,29,0.88,4.55,3.44,60,8.6
2018,1,6,13,59,0.88,4.55,3.45,61,8.6
2018,1,6,14,29,0.88,4.35,3.39,59,8.6
2018,1,6,14,59,0.85,4.35,3.4,59,8.6
2018,1,6,15,29,0.81,4.55,3.42,59,8.7
