#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 12 01 04 26  0.7  0.1 11.1  0.7  5.3 ESE  SE        N/A  4.9 126
2025 12 01 03 56  0.7  0.1 10.5  0.7  5.0 ESE  SE        N/A  4.9 132
2025 12 01 03 26  0.7  0.1 10.5  0.7  5.0  SE  SE        N/A  5.0 125
2025 12 01 02 56  0.8  0.1 11.1  0.8  5.6 ESE ESE        N/A  5.0 121
2025 12 01 02 26  0.7  0.1 10.5  0.7  5.3  SE ESE        N/A  4.9 118
2025 12 01 01 56  0.7  0.1 10.5  0.7  5.6  SE ESE        N/A  4.9 115
2025 12 01 01 26  0.8  0.1 10.5  0.8  5.6  SE  SE      STEEP  5.0 124
2025 12 01 00 56  0.9  0.1 10.5  0.9  4.8 ESE  SE VERY_STEEP  5.0 142
2025 12 01 00 26  0.8  0.1 10.5  0.8  5.0  SE ESE      STEEP  4.9 121
2025 11 30 23 56  0.8  0.1 11.1  0.8  5.3 ESE ESE        N/A  4.8 121
2025 11 30 23 26  0.9  0.1 10.5  0.9  5.3  SE  SE      STEEP  4.8 125
2025 11 30 22 56  0.9  0.1 11.1  0.9  4.8  SE  SE VERY_STEEP  4.6 132
2025 11 30 22 26  0.8  0.1 10.5  0.8  4.5 ESE  SE VERY_STEEP  4.4 133
2025 11 30 21 56  0.8  0.1 10.5  0.8  4.5  SE  SE VERY_STEEP  4.2 133
2025 11 30 21 26  0.9  0.1 11.1  0.9  5.0  SE  SE VERY_STEEP  4.0 131
2025 11 30 20 56  0.9  0.1 10.5  0.9  4.8 ESE  SE VERY_STEEP  4.2 131
2025 11 30 20 26  0.8  0.1 10.5  0.8  4.8 ESE  SE VERY_STEEP  4.2 131
2025 11 30 19 56  0.9  0.1 10.5  0.9  4.5 ESE  SE VERY_STEEP  4.2 129
2025 11 30 19 26  0.9  0.1 10.5  0.9  4.3   E ESE VERY_STEEP  4.2 122
2025 11 30 18 56  0.9  0.1 10.5  0.9  4.5 ESE  SE VERY_STEEP  4.2 125
2025 11 30 18 26  0.9  0.1 10.5  0.9  4.2 ESE ESE VERY_STEEP  4.2 121
2025 11 30 17 56  0.9  0.1 10.5  0.9  4.2 ESE  SE VERY_STEEP  4.1 125
2025 11 30 16 26  0.8  0.1 11.1  0.8  4.0 ESE ESE VERY_STEEP  4.0 112
2025 11 30 15 56  0.8  0.1 10.5  0.8  4.2 ESE   E VERY_STEEP  4.1  97
2025 11 30 15 26  0.8  0.1 10.5  0.8  5.0 ESE   E      STEEP  4.0  81
2025 11 30 14 56  0.8  0.1 11.1  0.8  5.3 ESE   E      STEEP  4.1  80
2025 11 30 14 26  0.8  0.1 10.5  0.8  5.3 ESE   E      STEEP  4.0  79
2025 11 30 13 56  0.8  0.1 10.5  0.8  5.3 ESE   E      STEEP  4.1  79
2025 11 30 13 26  0.8  0.1 10.5  0.8  4.8 ESE ENE VERY_STEEP  4.1  77
2025 11 30 12 56  0.8  0.1 10.5  0.8  5.0 ESE ENE VERY_STEEP  4.2  76
2025 11 30 12 26  0.9  0.1 11.1  0.9  5.0 ESE ENE VERY_STEEP  4.2  72
2025 11 30 11 56  0.9  0.1 11.1  0.9  5.6 ESE ENE      STEEP  4.2  77
2025 11 30 11 26  1.0  0.1 11.1  1.0  5.3   E ENE VERY_STEEP  4.3  74
2025 11 30 10 56  1.0  0.1 10.5  1.0  5.3   E ENE      STEEP  4.0  77
2025 11 30 10 26  1.0  0.1 10.5  1.0  5.0   E   E VERY_STEEP  4.2  79
2025 11 30 09 56  1.0  0.1 11.1  1.0  5.6 ESE   E      STEEP  4.0  83
2025 11 30 09 26  1.1  0.1 10.5  1.1  5.0   E   E VERY_STEEP  4.0  80
2025 11 30 08 56  1.1  0.1 10.5  1.1  4.8 ESE ENE VERY_STEEP  4.0  74
2025 11 30 08 26  1.1  0.1 10.5  1.1  5.0   E ENE VERY_STEEP  4.0  77
2025 11 30 07 56  1.1  0.1 10.5  1.1  5.0 ESE ENE VERY_STEEP  4.0  74
